Index,संस्कृतम्,हिन्दी अर्ध,English Meaning,word,sandhied_word,kaaraka_sambandha,hindi_meaning
10.1.A,बुद्धिमान्,प्रशस्त बुद्धि युक्त,intelligent,(च),(च),"समुच्चय_द्योतकः,4.1",च2
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,नीतिमान्,नीति के ज्ञाता,sagacious,(सः),(सः),"कर्म,3.1",वह
,,,,सर्वदा,सर्वदा,"कालाधिकरणम्,3.1",हमेशा
,,,,अभिगतः,अभिगतः,,निकट_गया_हुआ
,वाग्ग्मी,अच्छा वक्ता,eloquent,सद्भिः,सद्भिः,"कर्ता,3.1",सज्जनों_से
,,,,समुद्रः,समुद्रः,"उपमानम्,1.1",समुद्र
,,,,इव,इव,"उपमान_द्योतकः,5.1",जैसे
,श्रीमान्,शोभा से युक्त,glorious,सिन्धुभिः,सिन्धुभिः,"उपमानम्,4.1",सागर_से
,,,,.,.,-,-
,,,,(सः),(सः),"विशेषणम्,2.1",वह
,शत्रु-निबर्हणः,शत्रु का नाश करने वाला,exterminator of foes,आर्यः,आर्यः,"कर्ता,9.1",आर्य
,,,,सर्व-,सर्व-समः,"तृतीया_तत्पुरुषः,3.2",सर्व-
,,,,समः,--,"विधेय_विशेषणम्,2.1",सम
,,,,च,च,"समुच्चय_द्योतकः,3.2",च1
10.2.A,विपुलांसः,उन्नत स्कन्धा वाला,distinguished with broad shoulder,एव,एव,"सम्बन्धः,4.1",ही
,,,,सदा,सदा,"कालाधिकरणम्,9.1",हमेशा
,,,,एव,एव,"सम्बन्धः,6.1",ही
,महा-बाहुः,विशाल बाँहा वाला,having powerful arms,प्रिय-,प्रिय-दर्शनः,"षष्ठी-बहुव्रीहिः,8.2",प्रिय-
,,,,दर्शनः,--,"समुच्चितः,3.2",दर्शन
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,2.1",है
,,,,.,.,-,-
,कम्बु-ग्रीवः,शंख सदृश ग्रीवा वाला,having a neck shaped as a conch,सः,सः,"कर्ता,6.1",वह
,,,,च,च,"सम्बन्धः,1.1",और
,,,,सर्व-,सर्व-गुण-उपेतः,"कर्मधारयः,3.2",सर्व-
,,,,गुण-,--,"तृतीया-तत्पुरुषः,3.3",गुण-
,महा-हनुः,पुष्ट ठुड्डी वाला,having stout chin,उपेतः,--,"विधेय_विशेषणम्,1.1",उपेत
,,,,कौसल्या-,कौसल्या-आनन्द-वर्धनः,"षष्ठी-तत्पुरुषः,4.2",कौसल्या-
,,,,आनन्द-,--,"षष्ठी-तत्पुरुषः,4.3",आनन्द-
,,,,वर्धनः,--,"विधेय_विशेषणम्,1.1",वर्धन
,9,9,9,(च),(च),"सम्बन्धः,4.3",और
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
11.1.A,महोरस्कः,विशाल छाती वाला,महोरस्कः,(सः),(सः),"कर्ता,5.1",वह
,,,,समुद्रः,समुद्रः,"उपमानम्,1.1",समुद्र
,,,,इव,इव,"उपमान_द्योतकः,2.1",जैसे
,महेष्वासः,विशाल धनुषा वाला,holding mighty bow,गाम्भीर्ये,गाम्भीर्ये,"अधिकरणम्,5.1",गहराई_में
,,,,(अस्ति),(अस्ति,"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,गूढ-जत्रुः,अप्रकाशित हँसुली (स्कन्ध की हड्डी) वाला,whose collar bone covered with flesh,(सः),(सः),"कर्ता,5.1",वह
,,,,धैर्येण,--,"?,5.1",धैर्य_से
,,,,हिमवान्,--,"उपमानम्,1.1",हिम
,,,,इव,--,"उपमान_द्योतकः,3.1",जैसे
,अरिन्दमः,शत्रुओं का दमन करने वाला,capable of subduing his foes,(अस्ति),--,"अभिहित_कर्ता,1.1",है
,,,,.,-,-,-
,,,,(सः),(सः),"कर्ता,5.1",वह
11.2.A,आ-जानु-बाहुः,घुटने तक लम्बी भुजाओं वाला,whose arms extended right upto his knees,विष्णुना,विष्णुना,"तुलना_बिन्दुः,3.1",विष्णु_का
,,,,सदृशः,सदृशः,"विधेय_विशेषणम्,1.1",समान
,,,,वीर्ये,वीर्ये,"अधिकरणम्,5.1",शूरवीरते_में
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,सु-शिराः,सुन्दर शिर वाला,having well formed head,(सः),(सः),"कर्ता,5.1",वह
,,,,सोमवत्,सोमवत्,"उपमान,1.1",सोम_पुं
,,,,प्रिय-,प्रिय-दर्शनः,"षष्ठी-बहुव्रीहिः,3.2",प्रिय-
,,,,दर्शनः,--,"विधेय_विशेषणम्,1.1",दर्शन
,सु-ललाटः,सुन्दर ललाट वाला,having shapely forehead,(च),(च),"समुच्चय_द्योतकः,3.2",च2
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,,,,(सः),(सः),"कर्ता,4.1",वह
,सु-विक्रमः,सुन्दर गति से चलने वाला,possessed of charming gait,कालाग्नि-,कालाग्नि-सदृशः,"कर्मधारयः,2.2",कालाग्नि-
,,,,सदृशः,--,"विधेय_विशेषणम्,1.1",समान
,,,,क्रोधे,क्रोधे,"अधिकरणम्,4.1",क्रोध_में
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,10,10,10,.,.,-,-
,,,,(सः),(सः),"कर्ता,4.1",वह
,,,,क्षमया,क्षमया,"हेतुः,4.1",क्षमा_का
12.1.A,समः,समुचित आकार वाला,possessed of medium stature,पृथिवी-,पृथिवी-समः,"तृतीया-तत्पुरुषः,3.2",पृथिवी-
,,,,समः,--,"विधेय_विशेषणम्,1.1",समान
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,सम-विभक्ताङ्गः,सुगठित अंगों वाला,having well proportionised limbs,.,.,-,-
,,,,(सः),(सः),"कर्ता,5.1",वह
,,,,धनदेन,धनदेन,"तुलना_बिन्दुः,3.1",धनद_का
,,,,समः,समः,"विधेय_विशेषणम्,1.1",सम
,स्निग्धवर्णः,आकर्षक,having unctuous complexion,त्यागे,त्यागे,"अधिकरणम्,5.1",त्याग_में
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,प्रतापवान्,प्रभावी,mighty,(सः),(सः),"कर्ता,6.1",वह
,,,,सत्ये,सत्ये,"अधिकरणम्,6.1",सत्य_में
,,,,धर्मः,धर्मः,"उपमानम्,1.1",धर्म
12.2.A,पीन-वक्षाः,चौडी छाती वाला,having rounded chest,इव,इव,"उपमान_द्योतकः,3.1",जैसे
,,,,अपरः,अपरः,"विधेय_विशेषणम्,1.1",दूसरा
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,विशालाक्षः,बडी-बडी आँखों वाला,having large eyes,मही-,मही-पतिः,"षष्ठी-तत्पुरुषः,1.2",मही-
,,,,पतिः,--,"विशेषणम्,2.1",पति
,,,,दशरथः,दशरथः,"कर्ता,20.1",दशरथ_ने
,लक्ष्मीवान्,शोभासम्पन्न,full of splendour,तम्,तम्,"विशेषणम्,13.1",उसको
,,,,एवम्-,एवं-गुण-सम्पन्नं,"कर्मधारयः,4.2",एवं-
,,,,गुण-,--,"तृतीया-तत्पुरुषः,4.3",गुण-
,शुभ-लक्षणः,शुभ लक्षणों से युक्त,associated with auspicious marks,सम्पन्नम्,--,"विशेषणम्,15.1",सम्पन्न
,,,,सत्य-,--,"षष्ठी-बहुव्रीहिः,5.2",सत्य-
,,,,पराक्रमम्,--,"विशेषणम्,15.1",पराक्रम_को
,,,,ज्येष्ठ-,--,"कर्मधारयः,6.2",ज्येष्ठ-
,11,11,11,गुणैः,--,"सहार्थः,7.1",गुणों_से
,,,,युक्तम्,--,"विशेषणम्,15.1",युक्त
,,,,प्रकृतीनां,--,"षष्ठीसम्बन्धः,9.1",प्रकृति_के
,1.ASloka,1.FSloka,1.GSloka,हितैः,--,"सहार्थः,10.1",हितों_से
,,,,युक्तम्,--,"विशेषणम्,15.1",युक्त
,,,,प्रियम्,--,"विशेषणम्,13.1",प्रिय_को
2.1.A,धर्मज्ञः,धर्म के ज्ञाता,One who knows the secret of virtues,ज्येष्ठम्,--,"विशेषणम्,13.1",ज्येष्ठ_को
,,,,सुतम्,--,"अभेदः,15.1",पुत्र_को
,,,,च,--,"सम्बन्धः,13.1",और
,सत्य-सन्धः,सत्यनिष्ठ,true to his promise,रामम्,--,"कर्म,19.1",राम_को
,,,,प्रकृति-,--,"षष्ठी-तत्पुरुषः,16.2",प्रकृति-
,,,,प्रिय-,--,"उपपद-तत्पुरुषः,16.3",प्रिय-
,,,,काम्यया,--,"हेतुः,19.1",कामना_से
,च,और,and,प्रीत्या,--,"हेतुः,19.1",प्रसन्नता_से
,,,,यौवराज्येन,--,"सहार्थः,19.1",युवराज_का_पद_या_अधिकार_से
,,,,संयोक्तुम्,--,"इष्कर्म,20.1",लगाने~के_लिये
,प्रजानाम्,जनता के,of the people,ऐच्छत्,--,"अभिहित_कर्ता,2.1;सकर्मक",इच्छा_की
,,,,.,-,-,-
,,,,तस्य,तस्य,"षष्ठीसम्बन्धः,4.1",उसकी
,च,और,and,अभिषेक-,अभिषेक-सम्भारान्,"षष्ठी-तत्पुरुषः,2.2",अभिषेक-
,,,,सम्भारान्,--,"कर्म,3.1",संग्रह
,,,,दृष्ट्वा,दृष्ट्वा,"पूर्वकालः,12.1",देख_कर
